symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ETHUSD,2019-03-21 00:00:00+00:00,135.2586821665,140.1511761965,133.1542231514,139.6787185525,738383.1194411849,135.2586821665,140.1511761965,133.1542231514,139.6787185525,738383.1194411849,0.0,1.0
ETHUSD,2019-03-22 00:00:00+00:00,136.1633990833,137.5541865364,134.5705711271,135.1154860221,619842.6546899173,136.1633990833,137.5541865364,134.5705711271,135.1154860221,619842.6546899173,0.0,1.0
ETHUSD,2019-03-23 00:00:00+00:00,137.5406290161,138.4365978491,135.8931827346,136.1348090837,619075.2301407984,137.5406290161,138.4365978491,135.8931827346,136.1348090837,619075.2301407984,0.0,1.0
ETHUSD,2019-03-24 00:00:00+00:00,136.0140997595,137.5647194173,135.1257400491,137.4983628173,462601.269686509,136.0140997595,137.5647194173,135.1257400491,137.4983628173,462601.269686509,0.0,1.0
ETHUSD,2019-03-25 00:00:00+00:00,134.1491256435,137.2806936596,131.9971498145,136.4782206902,394524.8729990863,134.1491256435,137.2806936596,131.9971498145,136.4782206902,394524.8729990863,0.0,1.0
ETHUSD,2019-03-26 00:00:00+00:00,134.3882795333,135.0870946529,132.6540655993,134.1932089803,360425.48971417,134.3882795333,135.0870946529,132.6540655993,134.1932089803,360425.48971417,0.0,1.0
ETHUSD,2019-03-27 00:00:00+00:00,140.0328451687,140.6472422038,134.2531935244,134.4729842181,606759.3333728301,140.0328451687,140.6472422038,134.2531935244,134.4729842181,606759.3333728301,0.0,1.0
ETHUSD,2019-03-28 00:00:00+00:00,138.0701270726,139.6461639164,137.4045632571,139.6116577979,621098.71640407,138.0701270726,139.6461639164,137.4045632571,139.6116577979,621098.71640407,0.0,1.0
ETHUSD,2019-03-29 00:00:00+00:00,143.9720103317,144.3541137053,138.2192904784,138.5028123405,534485.7184959999,143.9720103317,144.3541137053,138.2192904784,138.5028123405,534485.7184959999,0.0,1.0
ETHUSD,2019-03-30 00:00:00+00:00,142.9536652931,146.6351811102,140.5697935721,143.9275758733,559392.72291625,142.9536652931,146.6351811102,140.5697935721,143.9275758733,559392.72291625,0.0,1.0
ETHUSD,2019-03-31 00:00:00+00:00,141.8286469265,142.8864947865,140.8377922997,142.8308109992,310146.77351721,141.8286469265,142.8864947865,140.8377922997,142.8308109992,310146.77351721,0.0,1.0
ETHUSD,2019-04-01 00:00:00+00:00,141.5826549499,143.4611007304,139.8675160798,141.8098547687,650590.98918294,141.5826549499,143.4611007304,139.8675160798,141.8098547687,650590.98918294,0.0,1.0
ETHUSD,2019-04-02 00:00:00+00:00,164.3843808386,166.1698726098,141.3856521964,141.6206928386,2136477.9462983804,164.3843808386,166.1698726098,141.3856521964,141.6206928386,2136477.9462983804,0.0,1.0
ETHUSD,2019-04-03 00:00:00+00:00,157.4653328889,179.1021835503,152.6829282439,165.3264555695,2448562.3587235003,157.4653328889,179.1021835503,152.6829282439,165.3264555695,2448562.3587235003,0.0,1.0
ETHUSD,2019-04-04 00:00:00+00:00,157.7419339897,164.4901416737,153.4681977482,160.1315009757,1146909.1066162698,157.7419339897,164.4901416737,153.4681977482,160.1315009757,1146909.1066162698,0.0,1.0
ETHUSD,2019-04-05 00:00:00+00:00,165.6161601696,168.5365881021,156.3454549324,157.7119771996,776035.44426898,165.6161601696,168.5365881021,156.3454549324,157.7119771996,776035.44426898,0.0,1.0
ETHUSD,2019-04-06 00:00:00+00:00,166.0380050608,173.3784725343,160.1441659161,165.7742644427,791625.6967337101,166.0380050608,173.3784725343,160.1441659161,165.7742644427,791625.6967337101,0.0,1.0
ETHUSD,2019-04-07 00:00:00+00:00,175.0355787076,176.7382746567,164.6400938626,166.066116227,770228.18675016,175.0355787076,176.7382746567,164.6400938626,166.066116227,770228.18675016,0.0,1.0
ETHUSD,2019-04-08 00:00:00+00:00,180.0218991021,186.8349431477,172.6944708304,175.1496249561,1447780.69939824,180.0218991021,186.8349431477,172.6944708304,175.1496249561,1447780.69939824,0.0,1.0
ETHUSD,2019-04-09 00:00:00+00:00,175.4520088693,180.1612398437,172.8757021618,179.8127638258,759850.9188690501,175.4520088693,180.1612398437,172.8757021618,179.8127638258,759850.9188690501,0.0,1.0
ETHUSD,2019-04-10 00:00:00+00:00,177.2266885694,184.6211621199,172.433155757,175.6185608166,913689.1350634999,177.2266885694,184.6211621199,172.433155757,175.6185608166,913689.1350634999,0.0,1.0
ETHUSD,2019-04-11 00:00:00+00:00,164.6824651003,177.5044010887,160.6975102743,177.2438309705,1004461.45522584,164.6824651003,177.5044010887,160.6975102743,177.2438309705,1004461.45522584,0.0,1.0
ETHUSD,2019-04-12 00:00:00+00:00,163.9543528601,167.3706897117,158.8476716033,164.6070875177,523413.8554465,163.9543528601,167.3706897117,158.8476716033,164.6070875177,523413.8554465,0.0,1.0
ETHUSD,2019-04-13 00:00:00+00:00,163.8557876471,166.1340045697,161.5287532765,164.0616857352,330790.58992544,163.8557876471,166.1340045697,161.5287532765,164.0616857352,330790.58992544,0.0,1.0
ETHUSD,2019-04-14 00:00:00+00:00,168.0818653567,169.3517824474,161.8025956133,164.0052268047,380551.0018973401,168.0818653567,169.3517824474,161.8025956133,164.0052268047,380551.0018973401,0.0,1.0
ETHUSD,2019-04-15 00:00:00+00:00,160.1150200881,169.5610576963,156.4672204904,168.0603021397,593951.36437835,160.1150200881,169.5610576963,156.4672204904,168.0603021397,593951.36437835,0.0,1.0
ETHUSD,2019-04-16 00:00:00+00:00,166.0427161338,167.2369586493,160.0708402766,160.7250564882,574236.3727293101,166.0427161338,167.2369586493,160.0708402766,160.7250564882,574236.3727293101,0.0,1.0
ETHUSD,2019-04-17 00:00:00+00:00,166.0870672015,167.6307370577,164.2033835181,165.7829597717,857307.20541373,166.0870672015,167.6307370577,164.2033835181,165.7829597717,857307.20541373,0.0,1.0
ETHUSD,2019-04-18 00:00:00+00:00,173.8800285887,175.9246395053,165.8031114312,166.3448606992,1020362.34308299,173.8800285887,175.9246395053,165.8031114312,166.3448606992,1020362.34308299,0.0,1.0
ETHUSD,2019-04-19 00:00:00+00:00,172.9831252284,173.8218721197,168.9201992907,173.5313996815,1168432.53326405,172.9831252284,173.8218721197,168.9201992907,173.5313996815,1168432.53326405,0.0,1.0
ETHUSD,2019-04-20 00:00:00+00:00,173.0146512495,177.1838891355,170.1230781921,172.9184226717,1008368.81449218,173.0146512495,177.1838891355,170.1230781921,172.9184226717,1008368.81449218,0.0,1.0
ETHUSD,2019-04-21 00:00:00+00:00,169.0467693445,173.8342358632,165.5206337529,173.158515517,996976.4606703,169.0467693445,173.8342358632,165.5206337529,173.158515517,996976.4606703,0.0,1.0
ETHUSD,2019-04-22 00:00:00+00:00,170.9776048278,172.6944009373,167.4700328176,169.067855183,844699.75145311,170.9776048278,172.6944009373,167.4700328176,169.067855183,844699.75145311,0.0,1.0
ETHUSD,2019-04-23 00:00:00+00:00,169.8309918551,176.5561002576,168.5893518123,171.0635665127,789431.5931596099,169.8309918551,176.5561002576,168.5893518123,171.0635665127,789431.5931596099,0.0,1.0
ETHUSD,2019-04-24 00:00:00+00:00,165.2462675047,170.4170677428,159.9576632782,169.721810077,837719.24298043,165.2462675047,170.4170677428,159.9576632782,169.721810077,837719.24298043,0.0,1.0
ETHUSD,2019-04-25 00:00:00+00:00,154.3163394825,165.8956119166,149.9914782644,165.3233612826,965599.95951579,154.3163394825,165.8956119166,149.9914782644,165.3233612826,965599.95951579,0.0,1.0
ETHUSD,2019-04-26 00:00:00+00:00,158.036488317,161.6942743476,151.2135353102,154.3945369976,914837.5805583699,158.036488317,161.6942743476,151.2135353102,154.3945369976,914837.5805583699,0.0,1.0
ETHUSD,2019-04-27 00:00:00+00:00,160.272094075,164.2401338967,156.7022823753,158.2925689466,543816.94380963,160.272094075,164.2401338967,156.7022823753,158.2925689466,543816.94380963,0.0,1.0
ETHUSD,2019-04-28 00:00:00+00:00,158.9182939127,161.6270564997,157.956469855,159.9476915904,429212.9578897899,158.9182939127,161.6270564997,157.956469855,159.9476915904,429212.9578897899,0.0,1.0
ETHUSD,2019-04-29 00:00:00+00:00,156.7166299932,160.0351347373,153.610539036,158.8120178486,608945.50967764,156.7166299932,160.0351347373,153.610539036,158.8120178486,608945.50967764,0.0,1.0
